"BOROUGH","NEIGHBORHOOD","BUILDING CLASS CATEGORY","TAX CLASS AS OF FINAL ROLL","BLOCK","LOT","EASE-MENT","BUILDING CLASS AS OF FINAL ROLL","ADDRESS","APARTMENT NUMBER","ZIP CODE","RESIDENTIAL UNITS","COMMERCIAL UNITS","TOTAL UNITS","LAND SQUARE FEET","GROSS SQUARE FEET","YEAR BUILT","TAX CLASS AT TIME OF SALE","BUILDING CLASS AT TIME OF SALE","SALE PRICE","SALE DATE","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract 2020","Neighborhood Tabulation Area (NTA) (2020)"
"4","FLUSHING-NORTH","02  TWO FAMILY DWELLINGS","1","6381","13",,"B2","138-16 59 AVENUE",,"11355","2","0","2","4,400","2,519","1940","1","B2","$180,000","01/02/2016","40.744008","-73.827245","407","20","4139657","4063810013","80301","QN0706"
"4","JACKSON HEIGHTS","03  THREE FAMILY DWELLINGS","1","1130","48",,"C0","30-51 81ST   STREET",,"11370","3","0","3","2,100","3,003","1970","1","C0","$0","01/02/2016","40.760115","-73.887132","403","22","4025149","4011300048","327","QN0301"
"4","LONG ISLAND CITY","13  CONDOS - ELEVATOR APARTMENTS","2","45","1019",,"R4","47-34 11TH   STREET","702","11101","1","0","1","0","0","2009","2","R4","$875,000","01/02/2016","40.744193","-73.951057","402","26","4539349","4000457501","701","QN0201"
"4","SO. JAMAICA-BAISLEY PARK","01  ONE FAMILY DWELLINGS","1","12065","177",,"A5","128-09 142ND   STREET",,"11436","1","0","1","1,988","1,152","1930","1","A5","$0","01/02/2016","40.672408","-73.798349","412","28","4262029","4120650177","790","QN1203"
"5","GRASMERE","02  TWO FAMILY DWELLINGS","1","3046","2",,"B2","785 WEST FINGERBOARD RD",,"10305","2","0","2","6,650","2,730","1970","1","B2","$0","01/02/2016","40.601629","-74.07997","502","50","5045019","5030460002","50","SI0201"
"1","MIDTOWN WEST","26  OTHER HOTELS","4","1009","37",,"H3","102 WEST 57TH STREET",,"10019","0","2","2","7,532","112,850","2007","4","H3","$0","01/03/2016","40.764455","-73.977532","105","4","1089420","1010090037","137","MN0502"
"1","MIDTOWN WEST","45  CONDO HOTELS","4","1006","1302",,"RH","1335 AVENUE OF THE AMERIC","TIMES","10019","0","0","1","0","0","1963","4","RH","$0","01/03/2016",,,,,,,,
"3","MIDWOOD","01  ONE FAMILY DWELLINGS","1","7593","20",,"A9","959 EAST 29TH STREET",,"11210","1","0","1","2,100","1,440","1925","1","A9","$0","01/03/2016","40.627709","-73.948058","314","45","3207013","3075930020","750","BK1403"
"4","RICHMOND HILL","01  ONE FAMILY DWELLINGS","1","9601","43",,"A1","121-11 109TH   AVENUE",,"11420","1","0","1","2,850","1,746","1920","1","A1","$0","01/03/2016","40.682817","-73.820229","410","28","4205617","4096010043","164","QN1001"
"5","NEW BRIGHTON","02  TWO FAMILY DWELLINGS","1","109","64",,"B2","283 VICTORY BOULEVARD",,"10301","2","0","2","7,309","2,200","1920","1","B2","$0","01/03/2016","40.635013","-74.084802","501","49","5002620","5001090064","75","SI0104"
"1","GREENWICH VILLAGE-WEST","13  CONDOS - ELEVATOR APARTMENTS","2","607","1481",,"R4","140 WEST 12TH","201","10011","1","0","1","0","0","2013","2","R4","$2,643,951","01/04/2016",,,,,,,,
"1","ALPHABET CITY","15  CONDOS - 2-10 UNIT RESIDENTIAL","2C","402","1205",,"R1","509 EAST 6TH   STREET","3R","10009","1","0","1","0","0","1920","2","R1","$842,619","01/04/2016","40.725277","-73.983473","103","2","1005115","1004027502","32","MN0303"
"1","CHELSEA","09  COOPS - WALKUP APARTMENTS","2C","720","76",,"C6","458 WEST 23RD   STREET, 3B/4B",,"10011","0","0","0","0","0","1900","2","C6","$1,457,000","01/04/2016","40.74716","-74.002934","104","3","1012715","1007200076","93","MN0401"
"1","CHELSEA","10  COOPS - ELEVATOR APARTMENTS","2","751","1",,"D4","330 WEST 28TH STREET, 14C",,"10001","0","0","0","0","0","1960","2","D4","$109,843","01/04/2016","40.749131","-73.997019","104","3","1082796","1007510001","97","MN0401"
"1","GRAMERCY","13  CONDOS - ELEVATOR APARTMENTS","2","898","1051",,"R4","305 2 AVENUE","316","10003","1","0","1","0","0","0","2","R4","$2,800,000","01/04/2016","40.734593","-73.983311","106","2","1069344","1008987501","48","MN0602"
"1","GRAMERCY","13  CONDOS - ELEVATOR APARTMENTS","2","898","1087",,"R4","305 2 AVENUE","506","10003","1","0","1","0","0","0","2","R4","$1,765,968","01/04/2016","40.734593","-73.983311","106","2","1069344","1008987501","48","MN0602"
"1","GREENWICH VILLAGE-CENTRAL","02  TWO FAMILY DWELLINGS","1","576","15",,"S2","50 WEST 13TH   STREET",,"10011","2","1","3","2,168","3,864","1901","1","S2","$0","01/04/2016","40.735983","-73.995735","102","3","1009612","1005760015","63","MN0202"
"1","GREENWICH VILLAGE-CENTRAL","26  OTHER HOTELS","4","576","14",,"HB","54 WEST 13TH   STREET",,"10011","0","0","0","4,336","46,020","2011","4","HB","$78,000,000","01/04/2016","40.736024","-73.995829","102","3","1080148","1005760014","63","MN0202"
"1","HARLEM-EAST","08  RENTALS - ELEVATOR APARTMENTS","2","1616","21",,"D3","1655 MADISON AVENUE",,"10029","19","0","19","3,750","16,459","2009","2","D3","$7,000,000","01/04/2016","40.796383","-73.947468","111","8","1087962","1016160021","17402","MN1101"
"1","KIPS BAY","13  CONDOS - ELEVATOR APARTMENTS","2","940","1172",,"R4","333 EAST 34TH STREET","14J","10016","1","0","1","0","0","1961","2","R4","$597,942","01/04/2016","40.744305","-73.974727","106","2","1021903","1009407501","78","MN0603"
"1","MIDTOWN EAST","10  COOPS - ELEVATOR APARTMENTS","2","1325","24",,"D4","251 EAST 51 STREET, 5JK",,"10022","0","0","0","0","0","1960","2","D4","$1,250,000","01/04/2016","40.75598","-73.969171","106","4","1038472","1013250024","98","MN0604"
"1","MIDTOWN WEST","10  COOPS - ELEVATOR APARTMENTS","2","1046","13",,"D4","345 W 55TH ST, 6C",,"10019","0","0","0","0","0","1925","2","D4","$543,500","01/04/2016","40.765982","-73.985138","104","3","1025425","1010460013","139","MN0402"
"1","MIDTOWN WEST","13  CONDOS - ELEVATOR APARTMENTS","2","1044","1080",,"R4","301 WEST 53RD   STREET","9G","10019","1","0","1","0","0","1979","2","R4","$974,983","01/04/2016","40.764357","-73.985156","104","3","1025400","1010447501","133","MN0402"
